sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; lynch;gabbilevy;2016-05-09 16:08;12;16;"Lynch to trans community: "We see you ... history is on your side." #HB2";;;#HB2;"729765124744093696";https://twitter.com/gabbilevy/status/729765124744093696
HB2; lynch;freedom2marry;2016-05-09 16:08;9;8;"AG Loretta Lynch : "State-sanctioned discrimination never works and never looks good in hindsight." #HB2 #LGBT";;;#HB2 #LGBT;"729764953616490497";https://twitter.com/freedom2marry/status/729764953616490497
HB2; lynch;jkarsh;2016-05-09 16:08;93;100;""It wasn't that long ago that North Carolina had other signs above water fountains." Loretta Lynch isn't playing around on #HB2";;;#HB2;"729764917859909632";https://twitter.com/jkarsh/status/729764917859909632
HB2; lynch;EmmaAkpanNC;2016-05-09 16:07;16;17;""This is not a time to invent a problem that does not exist." -Loretta Lynch #HB2 #RepealHB2";;;#HB2 #RepealHB2;"729764862247743489";https://twitter.com/EmmaAkpanNC/status/729764862247743489
HB2; lynch;AllisonWSOC9;2016-05-09 16:07;8;12;"US Attorney General Loretta Lynch to people of her home state of NC: this #HB2 law hurts innocent Americans @wsoctv";;@wsoctv;#HB2;"729764857382359040";https://twitter.com/AllisonWSOC9/status/729764857382359040
HB2; lynch;trulybrazen;2016-05-09 16:07;24;33;"Loretta Lynch is bringing the hammer down on Pat McCrory! Costing him millions right now. #HB2 She is on fire!";;;#HB2;"729764833990721536";https://twitter.com/trulybrazen/status/729764833990721536
HB2; lynch;matt_kwong;2016-05-09 16:07;59;86;"Woah. Loretta Lynch just dropped "Jim Crow" in reasoning for federal suit over N.C.'s #HB2 bathroom law. Watch live: http://www. cbc.ca/news/world/nor th-carolina-transgender-bathroom-law-challenge-us-1.3573541 ";;;#HB2;"729764810154508289";https://twitter.com/matt_kwong/status/729764810154508289
HB2; lynch;TheTJHelm;2016-05-09 16:07;2;4;""This law provides no benefit to society and all it does is harm innocent Americans." -- Attorney General Loretta Lynch on #HB2";;;#HB2;"729764757276864512";https://twitter.com/TheTJHelm/status/729764757276864512
HB2; lynch;freedom2marry;2016-05-09 16:06;11;8;""None of us can stand by when a state enters the business of legislating identity..." - U.S. Attorney General Loretta Lynch . #HB2 #LGBT";;;#HB2 #LGBT;"729764616578973697";https://twitter.com/freedom2marry/status/729764616578973697
HB2; lynch;raylab;2016-05-09 16:05;18;26;"Loretta Lynch just compared HB2 to jim crow....";;;;"729764334214221824";https://twitter.com/raylab/status/729764334214221824
HB2; lynch;chrisgeidner;2016-05-09 16:04;31;16;"Attorney General Lynch says that #HB2 is "state-sponsored discrimination against transgender individuals."";;;#HB2;"729763903312367616";https://twitter.com/chrisgeidner/status/729763903312367616
HB2; lynch;WCHLChapelboro;2016-05-09 16:03;1;2;"US AG Loretta Lynch : HB2 is "state-sponsored discrimination."";;;;"729763800698765312";https://twitter.com/WCHLChapelboro/status/729763800698765312
HB2; lynch;wcnc;2016-05-09 16:02;16;8;". @LorettaLynch has taken the podium to speak regarding NC's #HB2 suit. Watch it LIVE here: http:// on.wcnc.com/1q9DWUi";;@LorettaLynch;#HB2;"729763399257731072";https://twitter.com/wcnc/status/729763399257731072
HB2; lynch;indyweek;2016-05-09 15:38;12;22;"Watch Live as Attorney General Loretta Lynch Lays the Smack Down on McCrory #HB2 http:// buff.ly/1Noylot pic.twitter.com/HHsHXqtdXO";;;#HB2;"729757431186755584";https://twitter.com/indyweek/status/729757431186755584
HB2; lynch;NickOchsnerWBTV;2016-05-09 15:35;2;0;"Berger/Moore suit comes minutes before AG holds presser on 'law enforcement action' against NC. Can watch here http:// bit.ly/1VQP4DD";;;;"729756597719863296";https://twitter.com/NickOchsnerWBTV/status/729756597719863296
HB2; lynch;mattmc0714;2016-05-09 15:32;2;5;"@TWC_Help , literally all I wanted today was to watch US AG Loretta Lynch 's press conference on NC's #HB2 but the cable is down. Thanks.";Manhattan, NY;@TWC_Help;#HB2;"729756015667851264";https://twitter.com/mattmc0714/status/729756015667851264
HB2; lynch;dcexaminer;2016-05-09 15:32;7;2;"WATCH LIVE: Loretta Lynch announces legal action against North Carolina over #HB2 http:// washex.am/24HwIKe pic.twitter.com/5lBexbM9O9";;;#HB2;"729755974739841024";https://twitter.com/dcexaminer/status/729755974739841024
