 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
HASTAC2016,TiffChan29,5/11/2016 23:26,0,4,"Excited to be presenting @UVicMakerLab research at @hastac2016 tomorrow in Tempe, Arizona!",,@UVicMakerLab @hastac2016,,7.306E+17,https://twitter.com/TiffChan29/status/730599889357266945,
HASTAC2016,hastac2016,5/11/2016 21:17,0,1,#HASTAC16 Flat Stanley contest: take a picture of the Octocat around campus and tweet @GitHubEducation & conference hashtag!,,@GitHubEducation,#HASTAC16,7.30567E+17,https://twitter.com/hastac2016/status/730567491672379395,
HASTAC2016,hastac2016,5/11/2016 21:13,0,1,#HASTAC16 recognizes @github / @GitHubEducation for sponsoring 25% of #hastac16 conference registrations! Thank you to them & other partners!,,@github @GitHubEducation,#HASTAC16 #hastac16,7.30567E+17,https://twitter.com/hastac2016/status/730566620221857792,
HASTAC2016,NazcaTheMad,5/11/2016 21:12,0,2,#hastac2016 it begins..... @Arizona State University https://www. instagram.com/p/BFSc-6UErea/,"Tempe, AZ",@Arizona,#hastac2016,7.30566E+17,https://twitter.com/NazcaTheMad/status/730566364247801859,
HASTAC2016,hamidtasnuva,5/11/2016 18:52,0,0,". @HASTACscholars @hastac2016 Crowdsourced Geo-Data Meets Sexual Violence: Activism, Design, and the Ethical Life of Technologies""""",,@HASTACscholars @hastac2016,,7.30531E+17,https://twitter.com/hamidtasnuva/status/730531099160371204,
HASTAC2016,hamidtasnuva,5/11/2016 18:52,0,0,. @HASTACscholars @hastac2016 Presenting at 10:30 on Fr. at COOR L1-18: http:// sched.co/6DuL,,@HASTACscholars @hastac2016,,7.30531E+17,https://twitter.com/hamidtasnuva/status/730531030386409474,
HASTAC2016,Jenae_Cohn,5/11/2016 17:58,0,0,@hastac2016 Too kind! :),,@hastac2016,,7.30517E+17,https://twitter.com/Jenae_Cohn/status/730517365910200321,
HASTAC2016,hastac2016,5/11/2016 17:49,0,1,@Jenae_Cohn We are here for YOU! #HASTAC16 #getafterit,,@Jenae_Cohn,#HASTAC16 #getafterit,7.30515E+17,https://twitter.com/hastac2016/status/730515084812771328,
HASTAC2016,marylearner,5/11/2016 16:23,0,0,Lots of really great pedagogy ideas/?s-- @glass_grant brings up incorporating lesson plans on fair use & copyright #HASTAC2016,,@glass_grant,#HASTAC2016,7.30493E+17,https://twitter.com/marylearner/status/730493495924789249,
HASTAC2016,MiaTootill,5/11/2016 15:34,0,1,"At the @HASTACscholars #unconference , vaguely awake after my 4.45am start... #dedication #hastac2016",,@HASTACscholars,#unconference #dedication #hastac2016,7.30481E+17,https://twitter.com/MiaTootill/status/730481137441611776,
HASTAC2016,NazcaTheMad,5/11/2016 15:28,0,1,Ready to bring some queer masculine energy to #hastac2016 #cowboi #ModLab @Sacramento https://www. instagram.com/p/BFR1itMErR0/,"California, USA",@Sacramento,#hastac2016 #cowboi #ModLab,7.3048E+17,https://twitter.com/NazcaTheMad/status/730479633838264320,
HASTAC2016,MiaTootill,5/11/2016 9:40,0,0,Finished teaching my last course at Cornell (minus grading...)! Now on to #hastac2016 & the Arizona heat!,,,#hastac2016,7.30392E+17,https://twitter.com/MiaTootill/status/730392058150715392,
HASTAC2016,kallewesterling,5/11/2016 3:03,0,1,@hastac2016 @jenterysayers yeah! I left mine :/,"Tempe, AZ",@hastac2016 @jenterysayers,,7.30292E+17,https://twitter.com/kallewesterling/status/730292220247478272,
HASTAC2016,mjlavin80,5/10/2016 17:59,0,1,@ashleymchamp @hastac2016 This paper sounds fantastic! http:// bit.ly/22Lgd9Q,,@ashleymchamp @hastac2016,,7.30155E+17,https://twitter.com/mjlavin80/status/730155280076550149,
