sep=;
 searchterm;username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HB2; mccrory; doj;NvrRyan;2016-05-08 14:17;2;2;"DOJ Threatens Federal Funding in NC Over HB2 Yet #SanctuaryCities Are Protected? @BarackObama #StayOutofMyBathroom http:// fxn.ws/1ZtvFXv";;@BarackObama;#SanctuaryCities #StayOutofMyBathroom;"729374728989724672";https://twitter.com/NvrRyan/status/729374728989724672
HB2; mccrory; doj;PeteKaliner;2016-05-08 12:39;4;3;""The DOJ letter isnt legally binding in and of itself." *Finally mentioned after a week of #HB2 coverage.* #NCpol http://www. newsobserver.com/news/politics- government/politics-columns-blogs/under-the-dome/article76423567.html ";;;#HB2 #NCpol;"729349992406781953";https://twitter.com/PeteKaliner/status/729349992406781953
HB2; mccrory; doj;CraigJ_NandO;2016-05-08 12:27;0;1;". @PatMcCroryNC asked for time to respond to DOJ #HB2 letter. Feds: Only if you admit it's discriminatory. http:// nando.com/3rp #ncpol";;@PatMcCroryNC;#HB2 #ncpol;"729346918682230785";https://twitter.com/CraigJ_NandO/status/729346918682230785
HB2; mccrory; doj;underthedome;2016-05-08 12:26;3;1;"McCrory wants more time to respond, says DOJ told him no extension unless he declares #HB2 discriminatory http://www. newsobserver.com/news/politics- government/politics-columns-blogs/under-the-dome/article76423567.html #ncpol";;;#HB2 #ncpol;"729346622468067329";https://twitter.com/underthedome/status/729346622468067329
HB2; mccrory; doj;ScottCastro;2016-05-08 10:44;0;0;"McCrory looking terrible on Fox News Sunday. Doesnt appear NC will respond to DOJ before tomorrow. Public education money at risk #HB2";;;#HB2;"729321085104214016";https://twitter.com/ScottCastro/status/729321085104214016
HB2; mccrory; doj;BoyumTWCnews;2016-05-08 09:35;0;1;"Gov McCrory also says DOJ was willing to give week extension of state admitted #hb2 was discriminatory #ncpol #ncga";;;#hb2 #ncpol #ncga;"729303657964052482";https://twitter.com/BoyumTWCnews/status/729303657964052482
HB2; mccrory; doj;RaleighReporter;2016-05-08 09:33;39;32;"McCrory says he asked for extension on DOJ Monday deadline, was told he'd get an extra week if he admitted #HB2 is discriminatory. #ncpol";;;#HB2 #ncpol;"729303315469598720";https://twitter.com/RaleighReporter/status/729303315469598720
HB2; mccrory; doj;HermanThomRDU;2016-05-07 23:15;0;1;"(Podcast) Newsworthy: Luke Walton Hillary/Trump Janet Jackson Pat McCrory DOJ NC #HB2 Jim Crow http://www. emcbth.com/blog/2016/05/0 5/Podcast-Newsworthy-Luke-Walton-HillaryTrump-Janet-Jackson-Pat-McCrory-DOJ-NC-HB2-Jim-Crow-.aspx #USA 38";;;#HB2 #USA;"729147571269074945";https://twitter.com/HermanThomRDU/status/729147571269074945
HB2; mccrory; doj;common_big;2016-05-07 19:32;0;0;"DOJ gives NC Gov McCrory until Monday to stop enforcement of HB2 https:// youtu.be/OlR_iqgl6cc via @YouTube";;@YouTube;;"729091518401634308";https://twitter.com/common_big/status/729091518401634308
HB2; mccrory; doj;roelaren;2016-05-07 10:32;0;0;"McCrory : DOJ Letter On HB2 Is 'Washington Overreach' @TPM http:// talkingpointsmemo.com/livewire/pat-m ccrory-responds-doj-hb2 We are not pawns to be exploited at your will, Disgusting";;@TPM;;"728955599828852736";https://twitter.com/roelaren/status/728955599828852736
