 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
HB2,micnews,5/9/2016 16:32,141,176,Basically @LorettaLynch through that entire statement on #HB2 pic.twitter.com/MpOBcLh2IO,,@LorettaLynch,#HB2,7.29771E+17,https://twitter.com/micnews/status/729771006831808514
HB2,mountain_goats,5/4/2016 16:36,136,192,"Feds: HB2 in violation of Title IX and you have til Monday to renounce it, @PatMcCroryNC . lol, lol @you forever http://www. charlotteobserver.com/news/politics- government/article75601912.html ",,@PatMcCroryNC @you,,7.2796E+17,https://twitter.com/mountain_goats/status/727960230064173057
HB2,HRC,5/4/2016 23:00,135,204,"Today, the DOJ ruled North Carolina's HB2 violates the Civil Rights Act. @HRC is on the ground fighting to #RepealHB2 https://www. youtube.com/watch?v=JAHXsw M78GQ ",,@HRC,#RepealHB2,7.28057E+17,https://twitter.com/HRC/status/728056737706582017
HB2,HRC,5/4/2016 21:23,133,185,"ICYMI: U.S. Justice Dept Says HB2 Violates Civil Rights Act, Gives @PatMcCroryNC Monday Deadline #RepealHB2 http://www. hrc.org/blog/breaking- u.s.-justice-department-says-hb2-violates-federal-law-gives-gov.-m ",,@PatMcCroryNC,#RepealHB2,7.28032E+17,https://twitter.com/HRC/status/728032356699938816
HB2,HRC,5/9/2016 13:11,132,168,. @PatMcCroryNC You passed #HB2 in less than 10 hours. Three days is more than enough to respond to @TheJusticeDept #RepealHB2,,@PatMcCroryNC @TheJusticeDept,#HB2 #RepealHB2,7.2972E+17,https://twitter.com/HRC/status/729720349907136512
HB2,CecilBrockman,5/5/2016 11:52,122,115,#HB2 became law in less than 12 hours. 5 days should be more than enough time to decide how to clean up after it. https:// twitter.com/RaleighReporte r/status/728247615154847744 ,,,#HB2,7.28251E+17,https://twitter.com/CecilBrockman/status/728251140022931457
HB2,HRC,5/3/2016 20:47,113,89,". @RealDonaldTrump opposes #NorthCarolina 's HB2 in theory, but would let it continue in practice. #IndianaPrimary http://www. hrc.org/blog/four-ways -donald-trump-would-roll-back-lgbt-equality-as-president ",,@RealDonaldTrump,#NorthCarolina #IndianaPrimary,7.27661E+17,https://twitter.com/HRC/status/727660775083409408
HB2,LGBT_Activist,5/2/2016 10:23,110,154,Can't people just pee in peace? #HB2 #HB1523 #noh8inmyst8 #noh8 #thisamericanlife #LGBT pic.twitter.com/SJUbBKYhN4,"Kansas, USA",,#HB2 #HB1523 #noh8inmyst8 #noh8 #thisamericanlife #LGBT,7.27142E+17,https://twitter.com/LGBT_Activist/status/727141583603269632
HB2,MyDaughtersArmy,5/9/2016 18:59,102,312,"I see North Carolina's HB2 law has brought out the 'Christians in the streets, bigots in the tweets' brigade on Twitter. Again.",,,,7.29808E+17,https://twitter.com/MyDaughtersArmy/status/729807984042315776
HB2,ABC,5/4/2016 17:35,101,116,DOJ official says North Carolina's HB2 'bathroom law' violates civil rights. http:// abcn.ws/1SNrYLy pic.twitter.com/cAD5rdxD3h,,,,7.27975E+17,https://twitter.com/ABC/status/727975022606884864
HB2,Montel_Williams,5/9/2016 10:55,93,167,"Hoped @PatMcCroryNC would see the light, instead, he's chosen to take NC down a very dark path. #HB2 is simply indefensible. Shame on u Pat",,@PatMcCroryNC,#HB2,7.29686E+17,https://twitter.com/Montel_Williams/status/729686153025069058
HB2,ChadHGriffin,5/9/2016 13:12,86,127,. @PatMcCroryNC still lying about #HB2 and displaying just how little he understands our nation's civil rights laws.,,@PatMcCroryNC,#HB2,7.29721E+17,https://twitter.com/ChadHGriffin/status/729720786668367872
HB2,DWStweets,5/9/2016 17:01,78,149,"Beautiful - @LorettaLynch to the trans community: We see you, we stand with you, and we will do everything we can to protect you."" #HB2""",,@LorettaLynch,#HB2,7.29778E+17,https://twitter.com/DWStweets/status/729778283500478464
HB2,JeffJacksonNC,5/9/2016 11:33,77,77,"If it takes a year to resolve #HB2 in court, how much economic damage will that do to our state? And how long will it take to recover? #ncga",,,#HB2 #ncga,7.29696E+17,https://twitter.com/JeffJacksonNC/status/729695678792785920
HB2,DeeTwoCents,5/4/2016 16:55,75,81,BREAKING: Justice Dept says NC's #HB2 violates Civil Rights Act! http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,,#HB2,7.27965E+17,https://twitter.com/DeeTwoCents/status/727964906079784960
HB2,equalitync,5/4/2016 0:30,75,86,". @Beyonce just slayed #HB2 . Are you listening, #ncga ? #Beygood #WeAreNotThis #RepealHB2 http://www. beyonce.com/equality-nc-fo rmation-world-tour-north-carolina/ pic.twitter.com/d31YSfL5Tq",,@Beyonce,#HB2 #ncga #Beygood #WeAreNotThis #RepealHB2,7.27717E+17,https://twitter.com/equalitync/status/727717017332154370
HB2,jimmorrill,5/4/2016 15:46,74,43,US DOJ says HB2 puts NC in violation of Civil Rights Act. That could cost millions in Title 9 funds. http://www. charlotteobserver.com/news/politics- government/article75601912.html #NCPOL @CharObs,,@CharObs,#NCPOL,7.27948E+17,https://twitter.com/jimmorrill/status/727947508358467584
HB2,TheTaskForce,5/2/2016 12:11,70,59,Denying transgender people bathroom access is linked to suicide http://www. newsweek.com/transgender-ba throom-law-study-suicide-454185 #REPEALHB2 #HB2,"Washington, DC",,#REPEALHB2 #HB2,7.27169E+17,https://twitter.com/TheTaskForce/status/727168583009185794
HB2,OfficialBPeters,5/5/2016 9:34,69,373,Was cancelling my concert in NC but decided to speak against HB2 bill and support the Arts which is where the LGBT community is supported,,,,7.28216E+17,https://twitter.com/OfficialBPeters/status/728216272278851585
HB2,HRC,5/4/2016 9:47,68,98,We finally agree with @PatMcCroryNC on something! N.C. gov. admits #HB2 could cost him his reelection. #RepealHB2 http://www. newsobserver.com/news/politics- government/politics-columns-blogs/under-the-dome/article75404092.html ,,@PatMcCroryNC,#HB2 #RepealHB2,7.27857E+17,https://twitter.com/HRC/status/727857281631703040
HB2,JimDeMint,5/3/2016 15:54,58,65,Wrong. #HB2 protects privacy and safety while allowing reasonable accommodations for transgender students. https:// twitter.com/DailySignal/st atus/727586633529221121 ,,,#HB2,7.27587E+17,https://twitter.com/JimDeMint/status/727587161084727297
HB2,NCLRights,5/4/2016 16:27,54,53,BREAKING: @TheJusticeDept tells North Carolina that #HB2 violates U.S. Civil Rights Act http://www. charlotteobserver.com/news/politics- government/article75601912.html ,,@TheJusticeDept,#HB2,7.27958E+17,https://twitter.com/NCLRights/status/727957798953324544
HB2,LGBTProgress,5/4/2016 16:04,50,31,Breaking: Dept. of Justice just notified Gov. McCrory that North Carolina's HB2 violates the U.S. Civil Rights Act: http:// bit.ly/1Y8ZrQO,,,,7.27952E+17,https://twitter.com/LGBTProgress/status/727952034243219457
HB2,CNNPolitics,5/9/2016 14:18,49,54,Gov. Pat McCrory speaks out on North Carolina suing the Justice Dept. in defense of HB2 http:// cnn.it/23BHBYa http:// cnn.it/1rLD2Pa,,,,7.29737E+17,https://twitter.com/CNNPolitics/status/729737207771107328
HB2,RaleighReporter,5/4/2016 16:35,49,88,Senate Minority Leader Dan Blue reacts to Department of Justice #HB2 order More: http://www. newsobserver.com/news/politics- government/state-politics/article75607477.html #ncpol pic.twitter.com/uw2UhNRlnl,,,#HB2 #ncpol,7.2796E+17,https://twitter.com/RaleighReporter/status/727959930641207296
HB2,ChadHGriffin,5/4/2016 11:26,49,87,. @PatMcCroryNC is LAUGHING about the economic catastrophe he caused in the state he was elected to lead. http://www. newsobserver.com/opinion/editor ials/article75430977.html ,,@PatMcCroryNC,,7.27882E+17,https://twitter.com/ChadHGriffin/status/727882021666721792
HB2,TheDailyEdge,5/2/2016 11:37,48,45,"#NC POLL: Voters in North Carolina turn against @PatMcCroryNC as opposition to #HB2 solidifies, via @RABAresearch http://www. rabaresearch.com/north-carolina -poll-results-april-2016/ ",,@PatMcCroryNC @RABAresearch,#NC #HB2,7.2716E+17,https://twitter.com/TheDailyEdge/status/727159965916516352
HB2,TheTaskForce,5/1/2016 17:49,44,85,#TheBibleHasTaughtMe that people of faith must stop discrimination against anyone-including #LGBTQ people #HB2 pic.twitter.com/zKjpBB0W3x,,,#TheBibleHasTaughtMe #LGBTQ #HB2,7.26891E+17,https://twitter.com/TheTaskForce/status/726891225320685568
HB2,ACLU_NC,5/9/2016 16:53,42,45,. @ACLU and @LambdaLegal Applaud DOJ Lawsuit Against North Carolina on #HB2 https:// acluofnorthcarolina.org/blog/aclu-and- lambda-legal-applaud-doj-lawsuit-against-north-carolina-on-hb-2.html #WeAreNotThis pic.twitter.com/EeQOZ47DI9,,@ACLU @LambdaLegal,#HB2 #WeAreNotThis,7.29776E+17,https://twitter.com/ACLU_NC/status/729776250781372416
HB2,equalitync,5/2/2016 10:14,34,30,Watch the full ad w @freedom4allusa & @American_Unity calling for repeal of anti-LGBT #HB2 http:// bit.ly/1YWBigu pic.twitter.com/B7xsRZPPoi,,@freedom4allusa @American_Unity,#HB2,7.27139E+17,https://twitter.com/equalitync/status/727139166534930432
HB2,newsobserver,5/5/2016 12:08,30,11,House Speaker: NC wont meet Obama administrations Monday deadline on #HB2 #ncpol http:// bit.ly/1rtl5oh pic.twitter.com/1zYMsFfUBI,,,#HB2 #ncpol,7.28255E+17,https://twitter.com/newsobserver/status/728255043745501184
HB2,Montel_Williams,5/4/2016 9:44,30,46,Lyin' Pat can't help himself!!! Every time he opens his mouth about #HB2 he's lyin' pic.twitter.com/ydMw2SMDBU,,,#HB2,7.27856E+17,https://twitter.com/Montel_Williams/status/727856466380640256
HB2,jujuboston,5/1/2016 13:29,30,94,"You thought bill was to protect your daughters."" It'll affect your wages! What a sneaky little sammich. #HB2 pic.twitter.com/nG4CrS4brT""",,,#HB2,7.26826E+17,https://twitter.com/jujuboston/status/726825809248411651
HB2,indyweek,5/1/2016 12:00,30,34,. @PatMcCroryNC Deserves All the Hell Hes Catching for #HB2 http:// buff.ly/1Z05iYQ pic.twitter.com/lZRC2yHsPn,,@PatMcCroryNC,#HB2,7.26804E+17,https://twitter.com/indyweek/status/726803550148382721
HB2,thinkprogress,5/1/2016 10:45,26,18,The backlash against HB2 hasnt convinced North Carolinas lawmakers to changeiIt http:// thkpr.gs/3773242 pic.twitter.com/KkgYVElTuU,,,,7.26785E+17,https://twitter.com/thinkprogress/status/726784515427979264
HB2,ira,5/4/2016 12:34,23,31,"IF ONLY BEY CARED ABOUT THE LGBT COMMUNITY, AM I RIGHT? Beyonc, citing HB2 , urges support for equality http://www. charlotteobserver.com/news/local/art icle75551222.html ",,,,7.27899E+17,https://twitter.com/ira/status/727899275808530432
HB2,JoeMyGod,5/2/2016 14:56,23,41,#Ikea has joined the corporate call to repeal North Carolina's #HB2 .,,,#Ikea #HB2,7.2721E+17,https://twitter.com/JoeMyGod/status/727210130333388800
HB2,MarlowNYC,5/2/2016 14:50,21,21,. @DannyDeVito on North Carolina's anti-LGBT HB2 http:// pllqt.it/giNdNy pic.twitter.com/5kKK6Ro5NT,,@DannyDeVito,,7.27209E+17,https://twitter.com/MarlowNYC/status/727208774948261892
HB2,glaad,5/2/2016 11:01,21,30,Transgender man and his colleagues in NC speak out against absurd consequences of HB2 https://www. youtube.com/watch?v=6s3Fx0 lq9Ws&feature=youtu.be via @freedom4allusa,,@freedom4allusa,,7.27151E+17,https://twitter.com/glaad/status/727150991636856832
HB2,ACLU,5/4/2016 11:10,20,18,How North Carolinas #HB2 hurts my transgender son http://www. newsweek.com/how-bathroom-b ill-hurts-transgender-son-455120 @newsweek,,@newsweek,#HB2,7.27878E+17,https://twitter.com/ACLU/status/727877971835424771
HB2,CBSNLive,5/9/2016 16:14,18,17,"Acting assistant AG: Calling HB2 a 'bathroom bill' trivializes what it's actually about."" http:// cbsn.ws/21vPMY2 http:// snpy.tv/278Ca7U""",,,,7.29767E+17,https://twitter.com/CBSNLive/status/729766530385223680
