 searchterm,username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
attorney general,StopTechnocracy,5/3/2016 23:24,54,21,It Begins: Attorney General Targets 90 Conservative Groups In Climate Change Racketeering Suit http:// fb.me/2G6VpdX5K,,,,7.28E+17,https://twitter.com/StopTechnocracy/status/727700451588636672
attorney general,TriCityHerald,5/3/2016 21:24,7,3,Washington state attorney general considers legal options to protect #Hanford workers: http://www. tri-cityherald.com/news/local/han ford/article75460602.html @AGOWA pic.twitter.com/90ZgiYTXOe,"Kennewick, WA",@AGOWA,#Hanford,7.28E+17,https://twitter.com/TriCityHerald/status/727670110840717313
attorney general,dylanmatt,5/3/2016 18:17,15,25,JFK made his 35-year-old kid brother Attorney General because his dad made him. http://www. documentcloud.org/documents/8364 24-baker-text.html#document/p203 pic.twitter.com/0Z7UbqN190,,,#document,7.28E+17,https://twitter.com/dylanmatt/status/727623072161861634
attorney general,Brian_Pallister,5/3/2016 11:20,17,33,Pleased to welcome @HeatherStef as Minister of Justice and Attorney General . #BetterTogether #mbpoli,,@HeatherStef,#BetterTogether #mbpoli,7.28E+17,https://twitter.com/Brian_Pallister/status/727518161982111744
attorney general,AP,5/3/2016 9:45,51,49,"Ohio's attorney general says there will be ample security"" at funeral for 6 of 8 victims in family shootings. http:// apne.ws/1SIUXjV""",,,,7.27E+17,https://twitter.com/AP/status/727494190746185728
attorney general,EFF,5/2/2016 19:06,45,34,Google's fight against Mississippi's abusive use of investigatory power continues after state AG withdraws subpoena: https://www. eff.org/deeplinks/2016 /04/mississippi-attorney-general-withdraws-burdensome-subpoena-google-continues-fight ,,,,7.27E+17,https://twitter.com/EFF/status/727273044268343297
attorney general,emilymshields,5/2/2016 10:41,25,100,Former head girls- Manning's School. #1738Gems - @oohalam now Attorney General of Jamaica... pic.twitter.com/tnSewfOn9H,,@oohalam,#1738Gems,7.27E+17,https://twitter.com/emilymshields/status/727146034061660160
attorney general,chrisgeidner,5/2/2016 9:59,22,15,"Attorney General @LorettaLynch , on the effect of cell phone videos of police shootings: https://www. buzzfeed.com/chrisgeidner/l oretta-lynch-has-an-agenda-and-the-clock-is-ticking?utm_term=.gtOrQXPW34#.bjZWqvaZdA pic.twitter.com/pElCiM2a7D",,@LorettaLynch,#,7.27E+17,https://twitter.com/chrisgeidner/status/727135346757005314
attorney general,First_Focus,5/2/2016 9:02,10,8,177 Groups to Attorney General : Minors Need Legal Representation Now https:// firstfocus.org/news/press-rel ease/177-groups-to-attorney-general-minors-need-legal-representation-now/#.VyOIogtJP04.twitter pic.twitter.com/eJe6SAzaS6,,,#,7.27E+17,https://twitter.com/First_Focus/status/727120964375310336
attorney general,gaynewsnet,5/2/2016 7:34,7,8,"US Attorney General : Transgender rights are about fundamental fairness: US Attorney General Loret... http:// tinyurl.com/zmroj4b #gay , #lgbt",,,#gay #lgbt,7.27E+17,https://twitter.com/gaynewsnet/status/727098969197670403
attorney general,chrisgeidner,5/2/2016 7:16,7,14,"Leading @BuzzFeed this morning, my interview with Attorney General @LorettaLynch . https://www. buzzfeed.com/chrisgeidner/l oretta-lynch-has-an-agenda-and-the-clock-is-ticking?utm_term=.epjD1PDEy#.btrxQNxz9 pic.twitter.com/qxWoeLIwXy",,@BuzzFeed @LorettaLynch,#,7.27E+17,https://twitter.com/chrisgeidner/status/727094329097883649
attorney general,lisaphillips07,5/2/2016 6:13,4,10,Delighted to have just sworn in our new Attorney General . Congrats to him and his partner. pic.twitter.com/yFziMknbBM,,,,7.27E+17,https://twitter.com/lisaphillips07/status/727078468681359360
attorney general,mcspocky,5/2/2016 2:13,18,10,Attorney General Candidate On Verge Of Bringing Shoot First Law To Missouri http:// bit.ly/23hZXgJ #UniteBlue #p2 pic.twitter.com/2K80i00WHU,,,#UniteBlue #p2,7.27E+17,https://twitter.com/mcspocky/status/727018234852024320
attorney general,chrisgeidner,5/2/2016 1:09,19,20,ABOARD THE ATTORNEY GENERAL 'S PLANE My interview with Attorney General @LorettaLynch . https://www. buzzfeed.com/chrisgeidner/l oretta-lynch-has-an-agenda-and-the-clock-is-ticking?utm_term=.epbwqB4yGP ,,@LorettaLynch,,7.27E+17,https://twitter.com/chrisgeidner/status/727002104452243456
attorney general,CastanCentre,5/1/2016 21:21,12,5,"The Attorney-General 's response to the legal services report is inadequate and misleading: http:// ow.ly/4niWKt""",,,,7.27E+17,https://twitter.com/CastanCentre/status/726944651974942720
attorney general,bpolitics,5/1/2016 21:15,11,5,Attorney general : Justice Dept. hasnt set deadline for Clinton e-mail investigation http:// bloom.bg/1NE84lV pic.twitter.com/eyjV3V7vvV,,,,7.27E+17,https://twitter.com/bpolitics/status/726943094172749824
attorney general,Rose828,5/1/2016 20:49,5,5,New York Comptroller Scott Stringer and New York Attorney General Eric Schneiderman: Hand Recount of ... https://www. change.org/p/new-york-com ptroller-scott-stringer-and-new-york-attorney-general-eric-schneiderman-hand-recount-of-10-of-all-ny-primary-ballots?recruiter=584863&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive via @Change,,@Change,,7.27E+17,https://twitter.com/Rose828/status/726936675612504069
attorney general,ONLYTrummp,5/1/2016 20:24,5,2,#TedCruz fake Facebook page being used 2 fool South Carolinians @TGowdySC 4 U.S. Attorney General Gowdy-Man of TRUTH https:// twitter.com/IndeCardio/sta tus/726926482900180992 ,,@TGowdySC,#TedCruz,7.27E+17,https://twitter.com/ONLYTrummp/status/726930406067605504
attorney general,BillySmith104,5/1/2016 18:04,11,5,"Is trying to get some knowledge Attorney-General George Brandis defends $13,000 taxpayer-funded library http://www. smh.com.au/federal-politi cs/political-news/attorneygeneral-george-brandis-defends-13000-taxpayerfunded-library-20130930-2upee.html via @smh",,@smh,,7.27E+17,https://twitter.com/BillySmith104/status/726895185632731136
attorney general,Heritage,5/1/2016 16:53,51,58,Michigans attorney general deserves credit for doing what the federal government didnt do. #Flint http:// dailysign.al/1SJ4Wrg,,,#Flint,7.27E+17,https://twitter.com/Heritage/status/726877105175203840
attorney general,dee4peace,5/1/2016 15:57,8,7,"Former U.S. attorney general Michael Mukasey wrote an article for the Wall Street Journal back in January,... http:// fb.me/7gFh6Eawi",,,,7.27E+17,https://twitter.com/dee4peace/status/726863131662798849
attorney general,ntvkenya,5/1/2016 14:26,33,29,"The Attorney General should have read the first line of the national anthem"" #WithoutGod @LarryMadowo pic.twitter.com/cxA8IWc4YD""",,@LarryMadowo,#WithoutGod,7.27E+17,https://twitter.com/ntvkenya/status/726840244088242176
attorney general,TIME,5/1/2016 14:08,27,38,Attorney General says bathroom bills show 'change is difficult' http:// ti.me/1STNhdq,,,,7.27E+17,https://twitter.com/TIME/status/726835587043495936
attorney general,NelsonHavi,5/1/2016 13:51,14,5,23...and the Attorney General has moved a miscellaneous amendment to the JSC Act... #OkoaJudiciary,,,#OkoaJudiciary,7.27E+17,https://twitter.com/NelsonHavi/status/726831445407371264
attorney general,UncleRUSH,5/1/2016 12:37,28,104,When Hillary won the ny primary the governor the mayor the attorney general former Govenors and https://www. instagram.com/p/BE3yDgqjTjH/,,,,7.27E+17,https://twitter.com/UncleRUSH/status/726812885972738049
attorney general,cristoferosgro,5/1/2016 10:15,12,14,. @tbatten1 's editorial shows why we must: 1) #RepealHB2 and 2)elect @JoshStein_ as our next attorney general . http:// bit.ly/1QK3MUJ,,@tbatten1 @JoshStein_,#RepealHB2,7.27E+17,https://twitter.com/cristoferosgro/status/726776996366286850
attorney general,Ulumuri,5/1/2016 10:09,0,1,A new New York Primary! Ask NY Attorney General to request Federal Court Order http:// petitions.moveon.org/s/zsdtcd @moveon,,@moveon,,7.27E+17,https://twitter.com/Ulumuri/status/726775612334084098
attorney general,maqr0ll,5/1/2016 10:06,0,0,New York Comptroller Scott Stringer and New York Attorney General Eric Schneiderman: Hand Recount of ... https://www. change.org/p/new-york-com ptroller-scott-stringer-and-new-york-attorney-general-eric-schneiderman-hand-recount-of-10-of-all-ny-primary-ballots?recruiter=9746611&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_twitter_responsive via @Change,,@Change,,7.27E+17,https://twitter.com/maqr0ll/status/726774920055762944
attorney general,davidjones720,5/1/2016 10:04,6,1,New York attorney general : Trump University a scam @CNNPolitics http:// cnn.it/1Ru2dOb,,@CNNPolitics,,7.27E+17,https://twitter.com/davidjones720/status/726774201407905792
attorney general,POLSDC,5/1/2016 10:00,0,0,"Attorney General : 3 organizations violated open meeting laws: WAHPETON, N.D. (AP) - North Dakota Attorney General http:// m.tbnn.it/LC1h1h",,,,7.27E+17,https://twitter.com/POLSDC/status/726773194485456901
attorney general,stepseven7,5/1/2016 9:46,1,0,Private Attorney General Show Rod Class 27 April 2016 http:// bit.ly/1NenihA,,,,7.27E+17,https://twitter.com/stepseven7/status/726769793357877249
attorney general,jmlovell,5/1/2016 9:46,0,0,New York Attorney General Sues Over Police Shooting Case in Troy http:// nyti.ms/1VDqLJo,,,,7.27E+17,https://twitter.com/jmlovell/status/726769650143485952
attorney general,Paula_Dockery,5/1/2016 9:40,1,0,Attorney General Bondi's office releases trove of complaints against Trump seminars http:// fw.to/gq9UVlX,,,,7.27E+17,https://twitter.com/Paula_Dockery/status/726768205264465921
attorney general,Brendan_LyonsTU,5/1/2016 9:39,5,0,"@AGSchneiderman asserts jurisdiction in police shooting, demands records in showdown with local DA http://www. timesunion.com/tuplus-local/a rticle/Attorney-General-Eric-Schneiderman-demands-all-7385980.php?cmpid=twitter-desktop via @timesunion",,@AGSchneiderman @timesunion,,7.27E+17,https://twitter.com/Brendan_LyonsTU/status/726767973273341952
attorney general,tallguyDuke,5/1/2016 9:33,0,1,Good to know our future attorney general has a firm grasp on the nuances of probable cause and effective use of resources.,,,,7.27E+17,https://twitter.com/tallguyDuke/status/726766464053743616
attorney general,JoshStein_,5/1/2016 9:21,10,14,"Anyone who saw Newtons speech might now consider the attorney general s race the most important one on Novembers ballot."" 14""",,,,7.27E+17,https://twitter.com/JoshStein_/status/726763407911833600
attorney general,JoshStein_,5/1/2016 9:20,1,2,"Few people know much about Buck Newton, & his race for attorney general against Democrat Josh Stein was on barely anyones radar."" 13""",,,,7.27E+17,https://twitter.com/JoshStein_/status/726763331688775680
attorney general,BeSafe2017,5/1/2016 9:10,6,5,Looks like DOJ head Loretta Lynch wants to punt the Hillary probe past the November election https://www. google.com/amp/s/www.yaho o.com/amphtml/news/attorney-general-says-hillary-clinton-134600814.html?client=safari# https:// twitter.com/DineshDSouza/s tatus/726098605891719172 ,,,#,7.27E+17,https://twitter.com/BeSafe2017/status/726760728124739584
attorney general,basiliobmp,5/1/2016 8:53,0,0,Attorney General Says Hillary Clinton Email Probe May Not Be Settled Anytime Soon https://www. yahoo.com/news/attorney- general-says-hillary-clinton-134600814.html ,,,,7.27E+17,https://twitter.com/basiliobmp/status/726756309412929536
attorney general,KaylaBurrows2,5/1/2016 8:39,0,0,#ELECTED GOV'T TIME FOR CONSTITION REVIEW REGARDING JUDICAL SYSTEM. POLITICALLY APPOINTED ATTORNEY GENERAL POSITION HAS TOO MANY GRAY AREAS.,,,#ELECTED,7.27E+17,https://twitter.com/KaylaBurrows2/status/726753017677025280
attorney general,johnnybridge2,5/1/2016 8:14,0,1,@markgkenny ask the Attorney General .,,@markgkenny,,7.27E+17,https://twitter.com/johnnybridge2/status/726746586802348033
attorney general,BryanKBlanchard,5/1/2016 8:13,0,0,"Bad boys, bad boys, whatcha gonna do? AG Schneiderman says he has jurisdiction in Troy police shooting http://www. timesunion.com/tuplus-local/a rticle/Attorney-General-Eric-Schneiderman-demands-all-7385980.php?cmpid=twitter-desktop ",,,,7.27E+17,https://twitter.com/BryanKBlanchard/status/726746289845723136
attorney general,UGCorrespondent,5/1/2016 8:06,0,0,Hon Rebecca Kadaga asks the newly appointed attorney general to read the... https:// youtu.be/LusPavVB01o via @YouTube,,@YouTube,,7.27E+17,https://twitter.com/UGCorrespondent/status/726744517811036160
attorney general,Domelights,5/1/2016 7:43,0,0,Attorney General says @HillaryClinton email probe may not be settled anytime. soon. https://www. yahoo.com/news/attorney- general-says-hillary-clinton-134600814.html ,,@HillaryClinton,,7.27E+17,https://twitter.com/Domelights/status/726738930985492482
attorney general,InjusticeVictim,5/1/2016 7:41,0,1,#KathleenWynne should explain to @BostonMovesExpo why she hasn't FIRED her corrupt Minister of Attorney General via https://Statusbrew.com?r=wl Statusbrew.com/?r=wl,,@BostonMovesExpo,#KathleenWynne,7.27E+17,https://twitter.com/InjusticeVictim/status/726738238690349056
attorney general,artchoffin,5/1/2016 7:33,0,0,in time 4 impeachment. Attorney General Says Hillary Clinton Email Probe Not Be Settled Anytime Soon https://www. yahoo.com/news/attorney- general-says-hillary-clinton-134600814.html?soc_src=social-sh&soc_trk=tw via @YahooNews,,@YahooNews,,7.27E+17,https://twitter.com/artchoffin/status/726736202825646080
attorney general,OKKinderhookRG,5/1/2016 7:03,4,1,"Attorney General of NYS, 1845-1847, Slept Here http:// bit.ly/18oEuMA #USHistory #history",,,#USHistory #history,7.27E+17,https://twitter.com/OKKinderhookRG/status/726728628864737280
attorney general,EvaCalhoun11,5/1/2016 6:58,0,0,Why so assimilate to an attorney general the crowd call for unto serenade: rKu,,,,7.27E+17,https://twitter.com/EvaCalhoun11/status/726727503054663680
attorney general,Michiganworld,5/1/2016 6:48,0,0,State AG probes veterans' complaints over home care - The Detroit News http:// dlvr.it/LBydtx,,,,7.27E+17,https://twitter.com/Michiganworld/status/726724868452978689
